time,u,v,r,x,y,ψ,x1,y1,x2,y2,δ,n_p,X_wind,Y_wind,N_wind,U_W,Ψ_W,X_F,Y_F,N_F
23.25,1.006782439863437,-0.27871617231733337,0.08664370571258159,21.170840146920202,12.7473531175399,1.7855353470203827,20.53156279704315,15.678449238436343,21.810117496797254,9.816256996643457,0.3490658503988659,18.95,-1.1150415609794067,-23.781139375999263,-9.025683303166998,7.0,3.141592653589793,0.0,-0.0,0.0
23.5,1.0037220790463,-0.27824065519432883,0.08644135270186387,21.185284370374518,13.008115870879672,1.807196273448528,20.48267169508423,15.924678132948053,21.887897045664804,10.091553608811292,0.3490658503988659,18.95,-1.2422982886245324,-23.779531772144274,-9.543865431840485,7.0,3.141592653589793,0.0,-0.0,0.0
23.75,1.0007170381873203,-0.2777630404785035,0.0862413837895,21.19414089866671,13.268358649918994,1.828806611623994,20.428669288244944,16.16905739567635,21.95961250908848,10.367659904161638,0.3490658503988659,18.95,-1.372825156090382,-23.763149766978557,-10.053104032348505,7.0,3.141592653589793,0.0,-0.0,0.0
24.0,0.9977662925682281,-0.2772835226291748,0.08604389067322417,21.197448100361377,13.527975181538887,1.850366957571369,20.369619173935472,16.411497206523702,22.02527702678728,10.64445315655407,0.3490658503988659,18.95,-1.5072772508788765,-23.731353635283032,-10.552110418665851,7.0,3.141592653589793,0.0,-0.0,0.0
24.25,0.9948687682308696,-0.27680224041531176,0.08584896640895762,21.195245879183535,13.78686054831069,1.871877930239675,20.30558589266976,16.651909432430525,22.08490586569731,10.921811664190855,0.3490658503988659,18.95,-1.6463055564177855,-23.683510468028054,-11.039602219038436,7.0,3.141592653589793,0.0,-0.0,0.0
24.5,0.9920233444575643,-0.27631928070929446,0.08565670465071283,21.18757563044158,14.044911175955724,1.8933401718419145,20.23663488636429,16.89020759307183,22.13851637451887,11.19961475883962,0.3490658503988659,18.95,-1.7905569296090313,-23.618994148588158,-11.514303612379258,7.0,3.141592653589793,0.0,-0.0,0.0
24.75,0.9892288561579483,-0.27583468201129546,0.08546719904666289,21.17448020061339,14.30202482012916,1.9147543480045928,20.16283246110297,17.12630682643509,22.186127940123814,11.47774281382323,0.3490658503988659,18.95,-1.9406740732932872,-23.537185326866897,-11.97494554820722,7.0,3.141592653589793,0.0,-0.0,0.0
25.0,0.9864840961589181,-0.275348437726242,0.0852805427633962,21.15600385002414,14.558100552720893,1.9361211477662585,20.084245754138855,17.36012385453413,22.227761945909425,11.756077250907657,0.3490658503988659,18.95,-2.097295505012121,-23.437471391619418,-12.420265950247522,7.0,3.141592653589793,0.0,-0.0,0.0
25.25,0.9837878173963276,-0.27486049921301103,0.08509682811521352,21.132192218533007,14.813038747856552,1.9574412834571076,20.000942704912017,17.59157694948925,22.263441732153996,12.034500546223853,0.3490658503988659,18.95,-2.261052767866364,-23.31924761230572,-12.8490100445451,7.0,3.141592653589793,0.0,-0.0,0.0
25.5,0.981138735199711,-0.27437077867290566,0.08491614627721837,21.10309229413695,15.06674106777196,1.978715490485911,19.912992029870438,17.820585900182238,22.29319255840346,12.312896235361684,0.3490658503988659,18.95,-2.4321740164912677,-23.182085573582345,-13.259950760358304,7.0,3.141592653589793,0.0,-0.0,0.0
25.75,0.9785355569587624,-0.2738791589474311,0.08473858676354656,21.068752384384407,15.319110448773037,1.9999445270552156,19.820463200881633,18.047071979724304,22.317041567887177,12.59114891782177,0.3490658503988659,18.95,-2.6100721496606796,-23.025908194107043,-13.651909996859121,7.0,3.141592653589793,0.0,-0.0,0.0
26.0,0.9759770398069886,-0.27338551031706165,0.08456423688107953,21.029222089243856,15.57005109441907,2.021129173746102,19.7234264259914,18.270957920992522,22.335017752496313,12.869144267845618,0.3490658503988659,18.95,-2.7940622139734974,-22.85068481766743,-14.02372232861946,7.0,3.141592653589793,0.0,-0.0,0.0
26.25,0.9734619975686863,-0.2728896938799263,0.08439318222441762,20.984552273001164,15.81946848301588,2.0422702329663722,19.62195263005911,18.49216790739083,22.34715191594322,13.146769058640931,0.3490658503988659,18.95,-2.9834607477984023,-22.65638895785778,-14.374230051659175,7.0,3.141592653589793,0.0,-0.0,0.0
26.5,0.9709893005993427,-0.2723915629877911,0.08422550722278065,20.934795036121663,16.067269376348886,2.0633685285224765,19.516113435451683,18.710627565456157,22.35347663679164,13.423911187241615,0.3490658503988659,18.95,-3.1775858437123614,-22.442998227742496,-14.702283254484769,7.0,3.141592653589793,0.0,-0.0,0.0
26.75,0.9685578755245527,-0.2718909645777157,0.08406129560516036,20.880003687243313,16.313361827837497,2.084424905328172,19.40598114291443,18.926263957426396,22.354026231572195,13.700459698248597,0.3490658503988659,18.95,-3.3757572071595607,-22.210494263508288,-15.006739871380505,7.0,3.141592653589793,0.0,-0.0,0.0
27.0,0.9661667048917735,-0.27138774040462693,0.0839006307956452,20.82023271527253,16.55765519008542,2.105440229229462,19.291628712636488,19.139005573726717,22.348836717908576,13.976304806444123,0.3490658503988659,18.95,-3.5772962107492416,-21.958862641924526,-15.286465716694538,7.0,3.141592653589793,0.0,-0.0,0.0
27.25,0.9638148267475589,-0.27088172818006373,0.08374359624908322,20.755537761564014,16.800060121800644,2.126415386928373,19.173129745529963,19.34878232533542,22.33794577759807,14.251337918265868,0.3490658503988659,18.95,-3.7815259435669,-21.6880927915219,-15.540334498953094,7.0,3.141592653589793,0.0,-0.0,0.0
27.5,0.961501334151464,-0.2703727626222989,0.08359027573576219,20.685975592174564,17.04048859405871,2.147351285990644,19.05055846474352,19.55552553599519,22.32139271960561,14.525451652122232,0.3490658503988659,18.95,-3.9877733703703764,-21.398185134055147,-15.767236035436687,7.0,3.141592653589793,0.0,-0.0,0.0
27.75,0.9592253744898716,-0.26986067672814273,0.0834407534578864,20.61160407018868,17.278853895883337,2.1682488549245846,18.923989697432628,19.759167934239606,22.29921844294473,14.798539857527066,0.3490658503988659,18.95,-4.195437019758411,-21.089382394978085,-15.96633913837699,7.0,3.141592653589793,0.0,-0.0,0.0
28.0,0.95698614405923,-0.2693453127022648,0.08329511016136028,20.53248212820432,17.51507063913191,2.189109043289056,18.793498856969947,19.959643645275722,22.271465399438696,15.070497632988097,0.3490658503988659,18.95,-4.404000996247481,-20.762217283919618,-16.137145889489265,7.0,3.141592653589793,0.0,-0.0,0.0
28.25,0.9547828817832046,-0.2688265340549687,0.08315341898951246,20.448669743657756,17.749054763131532,2.2099328208293962,18.659161930669324,20.156888184955676,22.23817755664619,15.341221341307389,0.3490658503988659,18.95,-4.61295572286821,-20.417241205687656,-16.279183476375554,7.0,3.141592653589793,0.0,-0.0,0.0
28.5,0.9526148685259438,-0.2683042253353372,0.08301574660085574,20.360227917550425,17.980723539495962,2.2307211755767744,18.521055473459523,20.350838456730294,22.199400361641327,15.61060862226163,0.3490658503988659,18.95,-4.8217929266904305,-20.055007077062665,-16.391984636222148,7.0,3.141592653589793,0.0,-0.0,0.0
28.75,0.9504814266610769,-0.26777829117395746,0.08288215439964393,20.26721865345043,18.209995576841166,2.2514751122269883,18.379256600989223,20.54143274915923,22.15518070591164,15.878558404523098,0.3490658503988659,18.95,-5.030005629950366,-19.676069288970368,-16.475087571682714,7.0,3.141592653589793,0.0,-0.0,0.0
29.0,0.9483819195577843,-0.26724865540775367,0.08275269956945722,20.169704936523555,18.436790825334906,2.2721956508268994,18.23384298186941,20.72861073373143,22.1055668911777,16.144970916938384,0.3490658503988659,18.95,-5.237088138461712,-19.2809836729615,-16.528035868810033,7.0,3.141592653589793,0.0,-0.0,0.0
29.25,0.946315751002348,-0.26671526027743087,0.08262743594050567,20.067750712557046,18.66103058103842,2.292883825719264,18.084892829160918,20.912313462920174,22.050608595953175,16.409747699156664,0.3490658503988659,18.95,-5.4425360272759455,-18.870307471101498,-16.550378415085166,7.0,3.141592653589793,0.0,-0.0,0.0
