time,x_F_body_mean,x_F_body_median,y_F_body_mean,y_F_body_median,n_F_body_mean,n_F_body_median,x_F_earth_mean,x_F_earth_median,y_F_earth_mean,y_F_earth_median,n_F_earth_mean,n_F_earth_median
7.75,13.38670710470811,13.17139742382756,-30.49286997673944,-30.567752417927462,30.081347427170034,29.711556663648594,29.832241409964517,29.98268293923332,-14.800555594859908,-14.519926702158685,30.08134742717003,29.711556663648594
8.0,13.018127882312116,13.29377055081779,-32.7380013936283,-32.30950123705684,29.78964540716601,31.009884086890203,31.536015254331417,31.682056636183063,-15.707582190393515,-15.533539130217772,29.789645407166017,31.009884086890203
8.25,13.131384848825938,12.662991848810222,-34.08196862943347,-34.23737034715133,27.21321325842244,27.265329159389964,33.05760952818224,33.23466268742741,-15.530882509944796,-15.595531253050774,27.213213258422428,27.265329159389964
8.5,13.902227367715575,13.802732706120619,-36.32780746514514,-36.3639370611059,28.130891428052728,28.520378700760688,35.70584480079358,36.5366715095827,-15.429650978179058,-15.12440045328207,28.13089142805272,28.520378700760688
8.75,13.272855444427853,13.52684392020755,-37.41714067184936,-36.98008609784114,24.956901592034164,25.265882592963287,36.58291368124325,36.5129518919408,-15.424056254138454,-15.663780051011212,24.956901592034175,25.265882592963287
9.0,13.862793048514938,13.990418830853017,-37.51170662316954,-37.42735474561899,23.13375493513908,24.586315363102408,37.5326525588421,37.85746068525958,-13.805983266868061,-13.850299108194575,23.133754935139077,24.586315363102408
9.25,13.320964246317105,13.824365058329581,-38.46409188053483,-37.42939033751746,21.95434402007581,21.44101939294655,38.378295254357496,37.92213596402186,-13.566163668181812,-12.997021099043366,21.95434402007582,21.44101939294655
9.5,12.795369599858086,13.21844428804738,-39.021318525997856,-39.08880381360522,21.25404575618839,21.22211749977945,38.94014182010601,39.2319879982735,-13.04032920523228,-12.85787497725514,21.25404575618839,21.22211749977945
9.75,12.980671514062399,13.13499320114628,-40.26574330106611,-39.71332764881714,19.613034247813687,19.35195045802216,40.47732198178917,40.44316589567485,-12.305054594730095,-12.507633757443468,19.613034247813683,19.35195045802216
10.0,12.807831470858511,12.900613365189916,-40.82777705947293,-40.5024982266099,17.8361191278112,17.51058070303211,41.237918309860724,40.62404683406369,-11.418492397747269,-10.991000367755252,17.8361191278112,17.51058070303211
10.25,12.105469757318895,12.122659097849752,-41.199882257206845,-40.048615898151965,14.749737589868438,15.02019825770503,41.54619807538464,39.8775866809037,-10.857536019159756,-10.59792864833134,14.749737589868442,15.02019825770503
10.5,11.777211236184547,11.83883012642755,-41.31792667604424,-40.9292772360034,13.953018597075078,15.597488259443201,41.820573948887116,40.95767709322595,-9.844461292381752,-9.74563195502762,13.953018597075081,15.597488259443201
10.75,11.434164283050388,11.468151807996621,-41.80735794225159,-41.74361142139034,11.806905857067356,11.546154803552092,42.39475872156935,42.19445265129546,-9.015526698668365,-9.071960486232387,11.806905857067362,11.546154803552092
11.0,10.81781461018546,10.763457704098885,-41.12666391877711,-39.965324746401464,9.656015099373464,9.680526798961179,41.783353255875156,40.61291861476095,-7.910689948172218,-7.294486520849926,9.65601509937346,9.680526798961179
11.25,10.839497858346661,9.684843119055486,-43.33016028152981,-43.41188490725828,8.636504600831923,9.588001262547818,44.04257636299681,44.28681045671766,-7.432965116017194,-7.051606355930361,8.636504600831927,9.588001262547818
