time,x_F_body_mean,x_F_body_median,y_F_body_mean,y_F_body_median,n_F_body_mean,n_F_body_median,x_F_earth_mean,x_F_earth_median,y_F_earth_mean,y_F_earth_median,n_F_earth_mean,n_F_earth_median
13.25,11.648009667656362,11.68379322290465,-30.03058205802136,-30.129900155539918,32.726070815687905,32.50956434353887,26.889713879945052,26.81170244003333,-17.73288690961134,-17.663414784862923,32.726070815687905,32.50956434353887
13.5,11.83580094986065,11.968880332962947,-30.928882623986212,-30.991297317663218,32.456413894630174,32.054725694552786,27.91132361234057,28.003323000985056,-17.822457130507225,-17.954145232283174,32.456413894630174,32.054725694552786
13.75,12.008900244299694,12.059981625352046,-31.77470172446028,-32.06048037663274,31.35172220273619,30.669461064167304,28.905112796465136,28.940979622813003,-17.842079729175456,-17.92114873134187,31.351722202736195,30.669461064167304
14.0,12.13988388281055,12.304047398332024,-32.5119615179343,-32.28211921068325,32.121020417839425,32.22692923360207,29.811679692203228,29.557338850308994,-17.767053078798586,-17.725351271038654,32.12102041783941,32.22692923360207
14.25,12.057261087306607,12.118232554000226,-33.40467067119734,-33.255582211965105,30.558776744580708,29.97059192049756,30.664157640298114,30.765611648492616,-17.91532855431271,-17.83109440995446,30.558776744580708,29.97059192049756
14.5,12.267297039937219,12.218065171070325,-34.24316401527343,-34.43631356491073,29.29413382658728,29.016775777313285,31.721420720116093,31.775100924175206,-17.799784393529805,-17.935128272463345,29.29413382658727,29.016775777313285
14.75,12.140852898700649,12.124826527920757,-34.36606087845681,-34.395004388526765,29.933501878454702,29.463966838746366,32.058347427405835,32.141898452958074,-17.34038085106993,-17.435589215586447,29.933501878454702,29.463966838746366
15.0,12.336451643797194,12.314144624886946,-35.16240588327199,-35.12187025362526,29.71010280855419,29.81811222485573,33.08757362176231,33.07481488412364,-17.140458003312585,-17.130498911216698,29.710102808554193,29.81811222485573
15.25,12.237663220896756,12.324043091185956,-35.974382090393725,-35.7648112095294,28.509245344287272,28.52853994715311,33.92383698414146,33.86166540680151,-17.119867384961868,-17.060655549012946,28.509245344287265,28.52853994715311
15.5,12.335237479326308,12.2659775582307,-36.67798661378177,-36.80991264206611,28.326679937537524,28.521327162970564,34.834086860876525,34.947382717131106,-16.852868491150065,-16.900138614505224,28.326679937537534,28.521327162970564
15.75,12.341632317638048,12.346570266632078,-37.365443215157036,-37.34709010206154,26.984062258603416,27.080884465059363,35.67440405859617,35.75842777163133,-16.60810426848817,-16.656745098232776,26.984062258603423,27.080884465059363
16.0,12.010440257282395,12.13033898064582,-37.92275279408027,-37.65095178962194,26.29630573786541,25.86475784344018,36.19743548295819,36.06685942998127,-16.496409156267898,-16.432146130127105,26.296305737865396,25.86475784344018
16.25,11.98580537241983,11.954528819611696,-38.319829496558775,-38.12505815160215,24.96151072599767,25.12465193153765,36.81148135707293,36.66774665162181,-16.030711376245687,-15.803678725974475,24.96151072599767,25.12465193153765
16.5,11.889544782824899,11.859432478598592,-38.51781938559995,-38.45787617625193,25.3403055839018,25.54391889523029,37.223638562289146,37.28082831065565,-15.472052729703202,-15.41783713653689,25.340305583901806,25.54391889523029
16.75,11.635530341784534,11.720646491696378,-38.73797322348966,-38.84801958827065,24.62644391326928,25.0440631303497,37.54826352230856,37.517957328442435,-15.038086475167068,-15.084783971030014,24.626443913269284,25.0440631303497
17.0,11.51071105334273,11.441295199367069,-39.54688868960995,-39.595293320878156,23.535341352720383,23.76661376301646,38.41793193659535,38.38851416478701,-14.849760221019716,-14.855387478702557,23.53534135272037,23.76661376301646
